Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
17/09/2008,N,8,16,13,9
18/09/2008,T,3,25,83,40
18/09/2008,N,7,98,75,42
19/09/2008,T,8,78,18,8
19/09/2008,N,3,97,33,34
20/09/2008,T,7,11,56,98
20/09/2008,N,8,14,50,35
21/09/2008,T,2,87,41,7
21/09/2008,N,7,76,75,25
22/09/2008,T,0,6,79,76
22/09/2008,N,0,90,58,2
23/09/2008,T,7,30,62,60
23/09/2008,N,9,49,44,69
24/09/2008,T,0,80,13,94
24/09/2008,N,4,10,62,8
25/09/2008,T,5,73,10,45
25/09/2008,N,0,43,59,17
26/09/2008,T,0,75,94,76
26/09/2008,N,3,56,71,72
27/09/2008,T,0,93,40,38
27/09/2008,N,7,93,86,96
28/09/2008,T,9,63,2,58
28/09/2008,N,9,62,7,46
29/09/2008,T,7,81,29,10
29/09/2008,N,5,24,19,23
30/09/2008,T,3,3,23,43
30/09/2008,N,6,27,7,93
01/10/2008,T,6,96,93,60
01/10/2008,N,8,39,35,69
02/10/2008,T,8,19,44,34
02/10/2008,N,1,38,6,24
03/10/2008,T,2,59,83,77
03/10/2008,N,4,84,65,58
04/10/2008,T,2,63,34,47
04/10/2008,N,8,73,34,30
05/10/2008,T,7,98,12,93
05/10/2008,N,2,29,17,39
06/10/2008,T,8,91,28,21
06/10/2008,N,8,2,48,66
07/10/2008,T,5,12,58,12
07/10/2008,N,5,33,65,17
08/10/2008,T,2,85,61,28
08/10/2008,N,3,59,51,95
09/10/2008,T,2,70,37,47
09/10/2008,N,9,81,80,27
10/10/2008,T,4,17,3,90
10/10/2008,N,0,33,35,83
11/10/2008,T,8,51,38,91
11/10/2008,N,4,22,69,1
12/10/2008,T,0,76,1,73
12/10/2008,N,2,57,75,77
13/10/2008,T,5,77,23,88
13/10/2008,N,5,71,63,54
14/10/2008,T,3,90,69,29
14/10/2008,N,4,61,98,68
15/10/2008,T,5,45,61,50
15/10/2008,N,0,19,18,53
16/10/2008,T,2,56,69,63
16/10/2008,N,3,31,66,9
17/10/2008,T,6,70,4,82
17/10/2008,N,2,59,69,1
18/10/2008,T,3,27,21,9
18/10/2008,N,0,43,65,51
19/10/2008,T,7,11,66,16
19/10/2008,N,4,38,26,85
20/10/2008,T,9,88,89,62
20/10/2008,N,5,30,20,60
21/10/2008,T,5,19,56,28
21/10/2008,N,1,91,10,34
22/10/2008,T,1,75,59,26
22/10/2008,N,7,93,96,41
23/10/2008,T,8,88,90,37
23/10/2008,N,7,27,82,6
24/10/2008,T,8,75,23,92
24/10/2008,N,3,74,45,72
25/10/2008,T,6,50,52,44
25/10/2008,N,2,68,20,50
26/10/2008,T,3,28,96,80
26/10/2008,N,4,84,99,16
27/10/2008,T,6,1,39,85
27/10/2008,N,0,75,9,13
28/10/2008,T,3,59,26,66
28/10/2008,N,2,14,49,27
29/10/2008,T,0,53,29,61
29/10/2008,N,1,76,59,74
30/10/2008,T,4,87,55,54
30/10/2008,N,3,74,38,65
31/10/2008,T,9,46,68,57
31/10/2008,N,6,18,57,83
01/11/2008,T,3,95,1,49
01/11/2008,N,2,25,57,56
02/11/2008,T,6,36,93,50
02/11/2008,N,3,23,45,67
03/11/2008,T,1,91,42,28
03/11/2008,N,3,97,40,98
04/11/2008,T,3,98,49,23
04/11/2008,N,2,69,13,33
05/11/2008,T,8,84,49,77
05/11/2008,N,0,10,85,71
06/11/2008,T,0,80,37,63
06/11/2008,N,6,80,9,50
07/11/2008,T,3,22,56,61
07/11/2008,N,1,43,9,46
08/11/2008,T,2,39,64,31
08/11/2008,N,0,42,49,85
09/11/2008,T,6,27,36,8
09/11/2008,N,5,95,52,10
10/11/2008,T,5,34,97,21
10/11/2008,N,1,77,63,36
11/11/2008,T,7,42,79,36
11/11/2008,N,7,47,3,27
12/11/2008,T,9,92,53,39
12/11/2008,N,0,94,29,55
13/11/2008,T,2,0,85,37
13/11/2008,N,8,98,85,63
14/11/2008,T,0,33,26,97
14/11/2008,N,7,45,20,36
15/11/2008,T,7,6,30,40
15/11/2008,N,5,1,85,43
16/11/2008,T,3,60,0,83
16/11/2008,N,2,94,57,34
17/11/2008,T,4,31,30,0
17/11/2008,N,1,38,74,87
18/11/2008,T,9,72,19,57
18/11/2008,N,4,3,1,66
19/11/2008,T,0,20,71,69
19/11/2008,N,4,23,24,10
20/11/2008,T,9,65,63,63
20/11/2008,N,3,60,38,45
21/11/2008,T,9,98,8,8
21/11/2008,N,7,67,22,21
22/11/2008,T,3,7,90,47
22/11/2008,N,2,51,88,72
23/11/2008,T,1,1,94,74
23/11/2008,N,0,80,99,36
24/11/2008,T,8,74,60,21
24/11/2008,N,7,64,7,0
25/11/2008,T,9,98,41,33
25/11/2008,N,3,31,15,44
26/11/2008,T,9,46,49,75
26/11/2008,N,4,79,59,93
27/11/2008,T,8,3,11,14
27/11/2008,N,6,73,74,44
28/11/2008,T,2,34,97,98
28/11/2008,N,7,14,45,54
29/11/2008,T,4,66,15,70
29/11/2008,N,8,31,91,68
30/11/2008,T,5,16,76,3
30/11/2008,N,7,90,56,42
01/12/2008,T,2,74,76,65
01/12/2008,N,7,12,67,68
02/12/2008,T,2,50,21,80
02/12/2008,N,9,71,82,56
03/12/2008,T,0,4,10,85
03/12/2008,N,0,61,40,79
04/12/2008,T,9,6,15,41
04/12/2008,N,0,55,3,27
05/12/2008,T,6,96,14,73
05/12/2008,N,0,46,1,79
06/12/2008,T,5,6,81,92
06/12/2008,N,6,47,37,56
07/12/2008,T,6,85,21,9
07/12/2008,N,7,17,77,46
08/12/2008,T,7,94,46,2
08/12/2008,N,4,34,90,20
09/12/2008,T,1,31,15,50
09/12/2008,N,8,87,58,44
10/12/2008,T,2,64,34,20
10/12/2008,N,6,62,63,33
11/12/2008,T,6,52,86,47
11/12/2008,N,6,71,0,15
12/12/2008,T,8,81,64,99
12/12/2008,N,1,3,37,51
13/12/2008,T,0,79,32,53
13/12/2008,N,7,34,18,80
14/12/2008,T,3,38,12,74
14/12/2008,N,9,11,50,75
15/12/2008,T,5,79,33,20
15/12/2008,N,8,15,1,34
16/12/2008,T,9,33,47,85
16/12/2008,N,9,23,22,30
17/12/2008,T,2,17,86,6
17/12/2008,N,8,95,13,49
18/12/2008,T,3,96,8,68
18/12/2008,N,6,97,16,15
19/12/2008,T,0,19,65,66
19/12/2008,N,0,87,17,37
20/12/2008,T,9,29,42,23
20/12/2008,N,9,5,34,18
21/12/2008,T,9,60,83,64
